#Term,Coding,strong,akt/pass,Wortart,Emotion 1,Emotion 2
Adjektive,,,,,,
lustig,F_POS,,,adjektiv,Freude,
lustlos,,,,adjektiv,Ekel,
lustvoll,F_POS,,,adjektiv,Freude,
melancholisch,,,,adjektiv,Traurigkeit,
missachtet,,,,adjektiv,Ekel,
missbilligt,,,,adjektiv,Ekel,
mißgelaunt,F_NEG,,,adjektiv,Ärger,
missgelaunt,F_NEG,,,adjektiv,Ärger,
missgestimmt,F_NEG,,,adjektiv,Ärger,
mißgestimmt,F_NEG,,,adjektiv,Ärger,
missgünstig,,,,adjektiv,Ekel,
misslaunig,F_NEG,,,adjektiv,Ärger,
mißlaunig,F_NEG,,,adjektiv,Ärger,
misslaunig,,,,adjektiv,Ärger,
missmutig,,,,adjektiv,Ärger,
misstrauisch,,,,adjektiv,Furcht,
mitleidend,F_NEG,,,adjektiv,Traurigkeit,
mitleiderregend,F_NEG,strong,,adjektiv,Traurigkeit,
mitleidig,,,,,,
mitleidvoll,F_POS,,aktiv,adjektiv,Traurigkeit,
motiviert,,,,adjektiv,Freude,Erwartung
muffelig,F_NEG,,,adjektiv,Ärger,
mulmig,F_NEG,,,adjektiv,Furcht,
munter,F_POS,,,adjektiv,Freude,
mürrisch,F_NEG,,,adjektiv,Ärger,
mutig,,,,adjektiv,Vertrauen,
mutlos,F_NEG,,,adjektiv,Furcht,
nachdenklich,,,,adjektiv,Traurigkeit,
nervenaufreibend,F_NEG,,,adjektiv,Furcht,
nervös,,,,adjektiv,Furcht,
neidisch,,,,adjektiv,Ärger,
neugierig,F_POS,,,adjektiv,Erwartung,
niedergedrückt,F_NEG,,,adjektiv,Traurigkeit,
niedergeschlagen,F_NEG,strong,passiv,adjektiv,Traurigkeit,
ohnmächtig,,,,adjektiv,Traurigkeit,Furcht
optimistisch,,,,adjektiv,Freude,Erwartung
panisch,F_NEG,strong,,adjektiv,Furcht,
peinlich,F_NEG,strong,,adjektiv,Ärger,Überraschung
pessimistisch,,,,adjektiv,Traurigkeit,
putzmunter,F_POS,,,adjektiv,Freude,
quälend,F_NEG,strong,,adjektiv,Furcht,
qualvoll,F_NEG,strong,,adjektiv,Furcht,
quietschfidel,F_POS,strong,,adjektiv,Freude,
quietschvergnügt,F_POS,,,adjektiv,Freude,
quirlig,,,,adjektiv,Freude,
rachsüchtig,,,,adjektiv,Ärger,
rasend,,,,adjektiv,Ärger,
ratlos,,,,adjektiv,Furcht,
relaxed,F_POS,,,adjektiv,Vertrauen,
resigniert,F_NEG,,,adjektiv,Traurigkeit,
reuig,,,,adjektiv,Ekel,Traurigkeit
rührend,F_POS,,,adjektiv,Freude,Traurigkeit
sanftmütig,,,,adjektiv,Freude,
sauer,F_NEG,,,adjektiv,Ärger,
schadenfreudig,,,,adjektiv,Freude,
schadenfroh,,,,adjektiv,Freude,
scheu,F_NEG,,,adjektiv,Furcht,
schlechtgelaunt,F_NEG,strong,aktiv,adjektiv,Ärger,
schockiert,F_NEG,strong,,adjektiv,Überraschung,
schüchtern,,,,adjektiv,Furcht,
schwärmerisch,F_POS,,,adjektiv,Vertrauen,
schwermütig,F_NEG,strong,,adjektiv,Traurigkeit,
sehnsüchtig,F_NEG,,,adjektiv,Erwartung,
selig,,,,adjektiv,Freude,
sentimental,,,,adjektiv,Traurigkeit,
skeptisch,,,,adjektiv,Erwartung,
sorgenfrei,,,,adjektiv,Vertrauen,
sorgenvoll,F_NEG,,,adjektiv,Furcht,
sorgenlos,,,,adjektiv,Vertrauen,
