word	valence_mean	valence_sd	arousal_mean	arousal_sd	concreteness_mean	concreteness_sd	frequency	number_of_letters	number_of_syllables
Br¸cke	5.515625	1.490629	2.532258	1.715099	1.365079	0.955487	10	6	2
Bruder	6.093750	1.997767	3.890625	2.437258	2.903226	2.316793	9	6	2
Brust	6.380952	1.698468	5.838710	2.437370	1.645161	1.160791	10	5	1
B¸chse	4.953125	0.998883	2.622951	2.229828	1.793651	1.536216	13	6	2
Buckel	4.156250	1.644797	3.656250	2.502182	2.460318	1.584455	14	6	2
B¸fett	5.875000	1.812654	3.746032	2.235839	3.079365	2.295167	14	6	2
B¸hne	6.047619	1.679368	3.812500	2.329078	1.936508	1.412765	8	5	2
B¸ndel	5.031250	0.835117	2.741936	2.087712	3.174603	2.317811	13	6	2
B¸ro	4.793651	1.345947	2.225807	1.928385	2.758065	2.085748	9	4	2
Busen	6.000000	2.031498	6.523810	2.014921	1.714286	0.905691	12	5	2
Butter	4.936508	0.948224	2.306452	1.825042	1.693548	1.064921	12	6	2
Chance	6.047619	2.231942	5.406250	2.511679	6.967742	2.202590	8	6	2
Chaos	3.765625	1.982000	6.047619	2.372073	7.435484	1.921586	10	5	2
Charme	6.634921	2.157519	5.781250	2.104181	7.426230	1.802397	11	6	1
Dach	5.171875	1.120582	2.426230	1.765021	1.580645	1.064300	10	4	1
Dackel	5.015625	1.397188	2.672131	2.038965	1.460318	0.980872	14	6	2
Dame	6.171875	1.964403	4.328125	2.436851	3.333333	2.348644	10	4	2
Damm	5.453125	1.220587	2.920635	2.350714	1.887097	1.368316	11	4	1
D‰mon	3.507937	2.487861	6.078125	2.372492	5.841270	2.946876	14	5	2
Dampf	5.015625	0.604013	2.406250	1.550410	3.322581	2.487834	13	5	1
Dank	6.253968	2.117274	4.671875	2.643078	7.306452	1.955142	10	4	1
Daumen	5.046875	0.862438	2.571429	1.956909	1.516129	1.327415	13	6	2
Decke	5.312500	1.367131	2.467742	1.852935	1.634921	1.273826	11	5	2
Deckel	4.984375	0.723576	1.984127	1.560522	1.920635	1.734857	13	6	2
Delle	4.609375	1.475914	2.951613	2.279110	2.603175	2.028345	15	5	2
Delphin	6.046875	1.794433	3.484375	2.336679	1.492064	1.013983	15	7	2
Denkmal	5.703125	1.465797	3.312500	2.046096	1.936508	1.635030	11	7	1
Depp	3.781250	2.042942	4.984375	2.367050	6.333333	2.495157	15	4	1
Dessert	5.967742	1.974989	4.859375	2.461560	2.031746	1.177316	14	7	2
Detail	5.328125	1.054916	2.790323	2.203850	6.596774	2.357129	11	6	2
Diele	5.093750	0.987521	2.327869	1.823196	2.730159	2.223093	15	5	2
Dildo	4.920635	2.002431	6.453125	2.389990	1.888889	1.637377	18	5	2
Dirne	4.453125	1.934890	4.671875	2.513801	4.571429	2.613330	14	5	2
Disco	6.000000	1.745743	5.468750	2.203668	3.206349	2.701008	12	5	2
Distrikt	4.828125	1.189300	2.380952	1.790914	6.000000	2.750758	15	8	2
Diva	5.687500	1.841971	5.698413	2.366670	5.380952	2.517222	13	4	2
Docht	5.109375	1.114368	3.158730	2.470512	1.984127	1.755104	17	5	1
Dorf	4.968750	1.436141	2.532258	1.705514	2.158730	1.705838	9	4	1
Dose	5.078125	0.741185	2.190476	1.683479	1.460318	0.799706	13	4	2
Dozent	5.203125	0.945829	2.984127	2.067350	3.238095	2.563480	13	6	2
Draht	4.562500	1.166667	2.507937	1.730868	1.629032	0.853803	13	5	1
Drangsal	3.603175	2.004348	4.406250	2.635043	7.435484	1.789047	17	8	2
Dreck	3.750000	2.062515	5.093750	2.486272	2.952381	2.113158	12	5	1
Drogen	3.047619	2.630029	6.793651	2.397302	3.126984	2.151459	10	6	2
Drohung	3.437500	2.376305	6.507937	2.285106	7.322581	1.862258	11	7	2
