WORD,WORD_LOWER,WORD_CLASS,EMO_MEAN,EMO_STD,AROUSAL_MEAN,AROUSAL_STD,IMAGE_MEAN,IMAGE_STD,LETTERS,PHONEMES,SYLLABLES,Ftot/1MIL,N,FN,HFN,FHFN,BIGmean(TOKEN),ACCENT
MUSICAL,musical,N,1.1,1.19721899973786,2.55555555555556,1.04161764590537,5.22222222222222,1.39443337755679,7,8,3,3.16666666666667,0,0,0,0,120499.333333333,1
MUSIK,musik,N,2.4,0.50262469,1.85,1.22581873821025,3.68181818,1.98533585,5,5,2,119.5,0,0,0,0,72013.5,2
MUSIKBOX,musikbox,N,1,1.15470053837925,2.77777777777778,1.16596617626028,6,1.3228756555323,8,9,3,0.5,0,0,0,0,42653,2
MUSIKER,musiker,N,1.3,0.948683298050514,2.22222222222222,0.942809041582063,6,0.866025403784439,7,7,3,15.6666666666667,0,0,0,0,307034.666666667,1
MUSKEL,muskel,N,1.05,1.05,2.86,1.32,4.73,1.61,6,6,2,8,0,0,0,0,64071.8,1
MÜSSEN,müssen,V,-1.38235294117647,0.985184366143778,2.80952380952381,1.36451631060415,1.96153846153846,1.37056978606036,6,5,2,2381.16666666667,3,83.17,0,0,477097.666666667,1
MUSTERN,mustern,V,-0.6,0.84,2.85714285714286,1.04400531126383,3.33,1.12,7,7,2,8.33333333333333,0,0,0,0,355529.333333333,1
MUT,mut,N,2.1,0.567646212197547,3.66666666666667,0.840168050416806,3.44444444444444,1.23603308118261,3,3,1,42.1666666666667,6,9966.17,2,9914.67,33719,1
MUTATION,mutation,N,-1.4,0.699205898780101,3.5,0.785905247993376,4.11111111111111,1.90029237516523,8,8,4,1.5,1,0,0,0,71829.8571428571,4
MUTIG,mutig,A,2.2,0.63,3.31578947368421,1.15723000589758,4.11,1.27,5,5,2,16,0,0,0,0,72568.75,1
MUTLOS,mutlos,A,-1.4,0.52,2,1,3,1.32,6,6,2,1.33333333333333,1,2,1,2,26982.6,1
MUTTER,mutter,N,2.05,1.09904265,2.66666666666667,1.60879933307969,5.68181818,1.21052384,6,5,2,199.666666666667,4,65.17,0,0,372264.4,1
MUTTI,mutti,N,1.8,1.03279555898864,1.75,0.910465468000326,6.55555555555556,0.726483157256779,5,4,2,4,2,0.33,0,0,55095.25,1
MYSTIK,mystik,N,0.6,1.26491106406735,3.19047619047619,0.872871560943969,2.22222222222222,1.30170827931778,6,6,2,1,0,0,0,0,72903.2,1
MYSTISCH,mystisch,A,0.3,1.49,2.26315789473684,1.24016599530322,2.56,1.24,8,6,2,6.83333333333333,1,1,0,0,212497.428571429,1
MYTHOS,mythos,N,0.9,1.19721899973786,3,1.33333333333333,2.77777777777778,1.39443337755679,6,5,2,5.16666666666667,0,0,0,0,11967.4,1
NABEL,nabel,N,0.6,1.31389337,2.31578947368421,1.33552451531005,5.09090909,1.60086557,5,5,2,1.66666666666667,7,67.5,7,67.5,176174.75,1
NACHBAR,nachbar,N,-0.1,0.567646212197547,2.375,0.806225774829855,5,1.5,7,6,2,43.5,1,0.17,0,0,172492.666666667,1
NACHFOLGER,nachfolger,N,-0.176470588235294,1.05803099671882,2.42857142857143,0.978336781043653,3.15384615384615,1.37672968130444,10,9,3,46,0,49,0,0,313458.777777778,1
NACHMITTAG,nachmittag,N,1.23529411764706,1.01679304319592,2.21052631578947,1.1342617456312,4.15384615384615,1.54122828139916,10,8,3,42.1666666666667,0,0,0,0,158083.111111111,1
NACHREDE,nachrede,N,-1.6,0.516397779494322,3.17647058823529,1.07443555632987,2.11111111111111,0.333333333333333,8,7,3,1.16666666666667,0,0,0,0,319942.714285714,1
NACHRICHT,nachricht,N,0.617647058823529,0.888127273241812,3.05263157894737,1.17727011016194,4.26923076923077,1.7563073149695,9,7,2,76.1666666666667,0,50,0,0,286894,1
NACHRUF,nachruf,N,-0.7,1.15950180872841,2.64285714285714,1.22366437283861,3.33333333333333,1.5,7,6,2,4.16666666666667,0,0,0,0,193698.166666667,1
NACHT,nacht,N,1,1.15470053837925,2.88888888888889,1.02261998512983,6.11111111111111,0.781735959970571,5,4,1,159.333333333333,8,8171,2,8131,255218.5,1
NACHTEIL,nachteil,N,-1.3,0.948683298050514,3.16666666666667,0.985184366143778,2,1.22474487139159,8,6,2,22.3333333333333,0,0,0,0,281491.714285714,1
NACHWEISEN,nachweisen,V,-0.294117647058823,0.970142500145332,2.66666666666667,1.27801930084539,1.96153846153846,0.915675454766337,10,8,3,36.6666666666667,0,96,0,0,360810.444444444,1
NACKT,nackt,A,0.8,1.03,3.84210526315789,1.01451454700358,6,1,5,4,1,25.6666666666667,1,956,1,956,47822.75,1
NADEL,nadel,N,-0.55,1.05006265,2.85714285714286,1.27615493909299,6.09090909,1.01929438,5,5,2,5.66666666666667,4,17.33,1,12.33,293299.25,1
NAGEL,nagel,N,0.25,1.01954582,2.66666666666667,1.18817705157201,5.90909091,1.37699088,5,5,2,12.3333333333333,5,10.67,0,0,150154.25,1
NAH,nah,A,0.8,0.79,2.52631578947368,1.46698561125382,4.56,1.24,3,2,1,55.6666666666667,0,0,0,0,64399.5,1
NÄHE,nähe,N,2,1.04446593573419,2.27777777777778,0.894792486988599,4.19230769230769,1.83344987974541,4,3,2,119.666666666667,2,379.83,1,379.83,223222,1
NAHRUNG,nahrung,N,1.9,0.994428926011753,2.17647058823529,1.01459931239179,5,1.6583123951777,7,5,2,12.6666666666667,1,8.33,0,0,146676.166666667,1
NAIV,naiv,A,-0.8,0.42,2.31578947368421,1.05686284083011,2.44,1.59,4,4,2,14.5,0,0,0,0,30334.6666666667,1
NAME,name,N,0.588235294117647,0.82085126024381,2.21052631578947,1.1342617456312,3.80769230769231,2.00038457840948,4,4,2,275.5,5,552.33,1,379.83,83360.6666666667,1
NAMENLOS,namenlos,A,-1,0.47,1.78947368421053,1.18222705886536,1.44,0.73,8,8,3,1.83333333333333,0,0,0,0,190707.571428571,1
NAMHAFT,namhaft,A,1.1,0.74,2.52631578947368,1.46698561125382,2,0.87,7,7,2,14.8333333333333,0,0,0,0,57486.1666666667,1
NARBE,narbe,N,-1.15,0.98808693,3.42105263157895,0.96123701977563,5.27272727,1.24142078,5,5,2,8.5,3,68.5,1,67.67,143669.25,1
NARBIG,narbig,A,-0.9,0.74,2.52631578947368,1.34859684498089,5.56,1.24,6,6,2,0.666666666666667,1,165,1,165,70741.4,1
NARKOSE,narkose,N,-1.2,0.918936583472681,3.55555555555556,1.42342677748091,3.88888888888889,1.69148192751537,7,7,3,1.83333333333333,0,0,0,0,99570.1666666667,2
NARR,narr,N,-0.7,0.674948557710553,2.73684210526316,1.04573765900535,5.44444444444444,1.13038833052088,4,3,1,5.33333333333333,0,0,0,0,65239,1
NASCHEN,naschen,V,1.2,1.03,2.68421052631579,1.33552451531005,5,1,7,5,2,0.833333333333333,5,127,4,118,396864.666666667,1
NASE,nase,N,0.32,1.25,2.32,1.09,6,1.07,4,4,2,35.17,7,677,2,655.33,149825,1
NATIONAL,national,A,0.1,0.74,2.47368421052632,1.42861319905516,2.33,1.32,8,8,4,117.5,1,114,0,0,96503.1428571429,4
NATTER,natter,N,-1.15,1.08942283,3.65,1.13670808176853,4.63636364,1.465328,6,5,2,1.66666666666667,0,0,0,0,388536.4,1
NATUR,natur,N,2.35,0.74515982,1.88888888888889,1.07860961093922,4.90909091,1.57083814,5,5,2,118.333333333333,1,0,0,0,64954,2
NAZI,nazi,N,-2.9,0.316227766016838,4.66666666666667,0.685994340570035,4.88888888888889,1.76383420737639,4,4,2,16.5,0,0,0,0,37378.6666666667,1
NAZIZEIT,nazizeit,N,-2.6,0.699205898780101,4.375,0.806225774829855,3.66666666666667,2,8,7,3,3.16666666666667,0,0,0,0,146939.571428571,1
NEBEL,nebel,N,-0.55,1.31689427,2.68421052631579,1.15723000589758,5.68181818,0.99457402,5,5,2,23.3333333333333,4,277.17,1,255.5,187482.25,1
NEBLIG,neblig,A,-0.7,0.82,2.52631578947368,1.21876171459357,6.11,0.6,6,6,2,2.33333333333333,0,0,0,0,108581.2,1
NECKEN,necken,V,0.6,1.17,2.84210526315789,1.16729306492209,3.89,1.45,6,5,2,0.5,10,646,6,288,267724.4,1
NEFFE,neffe,N,0.85,0.933302,2.23809523809524,1.09108945117996,3.09090909,1.57083814,5,4,2,7.33333333333333,0,0,0,0,75157.5,1
NEGATION,negation,N,-1.2,0.918936583472681,2.72222222222222,1.31978409800978,1.55555555555556,1.0137937550497,8,8,4,2.33333333333333,1,0,0,0,92872.1428571429,2
NEGATIV,negativ,A,-2.4,0.84,3.55555555555556,0.783823376129674,2.44,1.67,7,7,3,36,0,0,0,0,80761.8333333333,1
NEGER,neger,N,-0.6,1.17378779077727,3.52380952380952,1.12334534400814,6.55555555555556,0.726483157256779,5,5,2,11.1666666666667,4,1,0,0,513632.5,1
NEGERIN,negerin,N,-0.6,1.26491106406735,3.38095238095238,1.02353263143832,6.44444444444444,0.726483157256779,7,7,3,1.66666666666667,0,0,0,0,453505.5,1
NEHMEN,nehmen,V,0.088235294117647,1.02595549135025,2,0.942809041582063,4.15384615384615,1.71329641784036,6,5,2,811.166666666667,1,0,0,0,293150.8,1
NEID,neid,N,-1.9,0.567646212197547,3.55555555555556,1.19912822364084,3.11111111111111,1.45296631451356,4,3,1,5.5,2,381,2,381,278696,1
NEIDISCH,neidisch,A,-1.5,0.53,3.83333333333333,0.707106781186548,3.22,1.39,8,5,2,2,0,0,0,0,294773.857142857,1
NEIDLOS,neidlos,A,0.9,1.37,1.52631578947368,0.611775290321498,2,0.5,7,6,2,1,0,0,0,0,147626.166666667,1
NEIGE,neige,N,-0.85,0.8127277,2.14285714285714,0.853563956930837,2.13636364,1.78072897,5,4,2,2.16666666666667,3,7,2,5.5,307226.25,1
NEIGEN,neigen,V,0.088235294117647,0.995981229554889,1.92857142857143,0.813250060790444,2.65384615384615,1.54770301265605,6,5,2,33.3333333333333,3,525.67,1,523.67,452624.2,1
NEIGUNG,neigung,N,0.4,0.699205898780101,2.4375,0.892094912738176,2.33333333333333,1.73205080756888,7,5,2,22,0,0,0,0,253272.333333333,1
NEIN,nein,N,-1.6,1.26,3.33333333333333,0.840168050416806,1.89,1.62,4,3,1,294,18,130233,8,104092,460790.333333333,1
NELKE,nelke,N,1.15,0.98808693,1.84210526315789,0.958190302064658,5.27272727,1.57908407,5,5,2,4,0,0,0,0,100371.5,1
NENNEN,nennen,V,0.294117647058823,0.629064325116033,2,0.948683298050514,2.26923076923077,1.21844794087207,6,5,2,327.5,5,313.67,0,0,507584,1
NETT,nett,A,1.8,0.79,2.05555555555556,1.05564155136453,3.78,1.64,4,3,1,34.5,7,1053,4,709,100544,1
NEUBAU,neubau,N,-0.2,1.15165784,2.25,1.01954582251634,4.5,1.62568667,6,4,2,36.5,0,0,0,0,102183.8,1
NEUGIER,neugier,N,0.3,1.41813649241218,3.55555555555556,0.704792186494566,3.11111111111111,1.45296631451356,7,5,2,12.1666666666667,0,0,0,0,342888.333333333,1
NEUROSE,neurose,N,-1.9,0.737864787372622,3.88888888888889,1.07860961093922,2.77777777777778,1.92209376577847,7,6,3,1.33333333333333,0,0,0,0,117367.5,2
NICHTE,nichte,N,0.45,1.31689427,2,0.942809041582063,3.27272727,1.66709951,6,5,2,2.16666666666667,4,627.17,2,626.5,312781.4,1
NICKEN,nicken,V,0.852941176470588,0.857492925712544,2,1,5.84615384615385,1.43366126242729,6,5,2,48,8,4,0,0,307424,1
